note(canal, nota, intensidade), tick
note_off(3, 62, 64), 36384
note_on(3, 74, 100.0), 36384
note_off(3, 74, 64), 36432
note_on(3, 74, 100.0), 36432
note_off(3, 74, 64), 36480
note_on(3, 62, 100.0), 36480
note_off(3, 62, 64), 36528
note_on(3, 62, 100.0), 36528
note_off(3, 62, 64), 36576
note_on(3, 74, 100.0), 36576
note_off(3, 74, 64), 36624
note_on(3, 74, 100.0), 36624
note_off(3, 74, 64), 36672
note_on(3, 62, 100.0), 36672
note_off(3, 62, 64), 36720
note_on(3, 62, 100.0), 36720
note_off(3, 62, 64), 36768
note_on(3, 74, 100.0), 36768
note_off(3, 74, 64), 36816
note_on(3, 74, 100.0), 36816
note_off(3, 74, 64), 36864
note_on(3, 62, 100.0), 36864
note_off(3, 62, 64), 36912
note_on(3, 62, 100.0), 36912
note_off(3, 62, 64), 36960
note_on(3, 74, 100.0), 36960
note_off(3, 74, 64), 37008
note_on(3, 74, 100.0), 37008
note_off(3, 74, 64), 37056
note_on(3, 62, 100.0), 37056
note_off(3, 62, 64), 37104
note_on(3, 62, 100.0), 37104
note_off(3, 62, 64), 37152
note_on(3, 74, 100.0), 37152
note_off(3, 74, 64), 37200
note_on(3, 74, 100.0), 37200
note_off(3, 74, 64), 37248
note_on(3, 62, 100.0), 37248
note_off(3, 62, 64), 37296
note_on(3, 62, 100.0), 37296
note_off(3, 62, 64), 37344
note_on(3, 74, 100.0), 37344
note_off(3, 74, 64), 37392
note_on(3, 74, 100.0), 37392
note_off(3, 74, 64), 37440
note_on(3, 62, 100.0), 37440
note_off(3, 62, 64), 37488
note_on(3, 62, 100.0), 37488
note_off(3, 62, 64), 37536
note_on(3, 74, 100.0), 37536
note_off(3, 74, 64), 37584
note_on(3, 74, 100.0), 37584
note_off(3, 74, 64), 37632
note_on(3, 62, 100.0), 37632
note_off(3, 62, 64), 37680
note_on(3, 62, 100.0), 37680
note_off(3, 62, 64), 37728
note_on(3, 74, 100.0), 37728
note_off(3, 74, 64), 37776
note_on(3, 74, 100.0), 37776
note_off(3, 74, 64), 37824
note_on(3, 62, 100.0), 37824
note_off(3, 62, 64), 37872
note_on(3, 62, 100.0), 37872
note_off(3, 62, 64), 37920
note_on(3, 74, 100.0), 37920
note_off(3, 74, 64), 37968
note_on(3, 74, 100.0), 37968
note_off(3, 74, 64), 38016
note_on(3, 62, 100.0), 38016
note_off(3, 62, 64), 38064
note_on(3, 62, 100.0), 38064
note_off(3, 62, 64), 38112
note_on(3, 74, 100.0), 38112
note_off(3, 74, 64), 38160
note_on(3, 74, 100.0), 38160
note_off(3, 74, 64), 38208
note_on(3, 62, 100.0), 38208
note_off(3, 62, 64), 38256
note_on(3, 62, 100.0), 38256
note_off(3, 62, 64), 38304
note_on(3, 74, 100.0), 38304
note_off(3, 74, 64), 38352
note_on(3, 74, 100.0), 38352
note_off(3, 74, 64), 38400
note_on(3, 62, 100.0), 38400
note_off(3, 62, 64), 38448
note_on(3, 62, 100.0), 38448
note_off(3, 62, 64), 38496
note_on(3, 74, 100.0), 38496
note_off(3, 74, 64), 38544
note_on(3, 74, 100.0), 38544
note_off(3, 74, 64), 38592
note_on(3, 62, 100.0), 38592
note_off(3, 62, 64), 38640
note_on(3, 62, 100.0), 38640
note_off(3, 62, 64), 38688
note_on(3, 74, 100.0), 38688
note_off(3, 74, 64), 38736
note_on(3, 74, 100.0), 38736
note_off(3, 74, 64), 38784
note_on(3, 62, 100.0), 38784
note_off(3, 62, 64), 38832
note_on(3, 62, 100.0), 38832
note_off(3, 62, 64), 38880
note_on(3, 74, 100.0), 38880
note_off(3, 74, 64), 38928
note_on(3, 74, 100.0), 38928
note_off(3, 74, 64), 38976
note_on(3, 62, 100.0), 38976
note_off(3, 62, 64), 39024
note_on(3, 62, 100.0), 39024
note_off(3, 62, 64), 39072
note_on(3, 74, 100.0), 39072
note_off(3, 74, 64), 39120
note_on(3, 74, 100.0), 39120
note_off(3, 74, 64), 39168
note_on(3, 62, 100.0), 39168
note_off(3, 62, 64), 39216
note_on(3, 62, 100.0), 39216
note_off(3, 62, 64), 39264
note_on(3, 74, 100.0), 39264
note_off(3, 74, 64), 39312
note_on(3, 74, 100.0), 39312
note_off(3, 74, 64), 39360
note_on(3, 62, 100.0), 39360
note_off(3, 62, 64), 39408
note_on(3, 62, 100.0), 39408
note_off(3, 62, 64), 39456
note_on(3, 74, 100.0), 39456
note_off(3, 74, 64), 39504
note_on(3, 74, 100.0), 39504
note_off(3, 74, 64), 39552
note_on(3, 62, 100.0), 39552
note_off(3, 62, 64), 39600
note_on(3, 62, 100.0), 39600
note_off(3, 62, 64), 39648
note_on(3, 74, 100.0), 39648
note_off(3, 74, 64), 39696
note_on(3, 74, 100.0), 39696
note_off(3, 74, 64), 39744
note_on(3, 62, 100.0), 39744
note_off(3, 62, 64), 39792
note_on(3, 62, 100.0), 39792
note_off(3, 62, 64), 39840
note_on(3, 74, 100.0), 39840
note_off(3, 74, 64), 39888
note_on(3, 74, 100.0), 39888
note_off(3, 74, 64), 39936
note_on(3, 62, 100.0), 39936
note_off(3, 62, 64), 39984
note_on(3, 62, 100.0), 39984
note_off(3, 62, 64), 40032
note_on(3, 74, 100.0), 40032
note_off(3, 74, 64), 40080
note_on(3, 74, 100.0), 40080
note_off(3, 74, 64), 40128
note_on(3, 62, 100.0), 40128
note_off(3, 62, 64), 40176
note_on(3, 62, 100.0), 40176
note_off(3, 62, 64), 40224
note_on(3, 74, 100.0), 40224
note_off(3, 74, 64), 40272
note_on(3, 74, 100.0), 40272
note_off(3, 74, 64), 40320
note_on(3, 62, 100.0), 40320
note_off(3, 62, 64), 40368
note_on(3, 62, 100.0), 40368
note_off(3, 62, 64), 40416
note_on(3, 74, 100.0), 40416
note_off(3, 74, 64), 40464
note_on(3, 74, 100.0), 40464
note_off(3, 74, 64), 40512
note_on(3, 62, 100.0), 40512
note_off(3, 62, 64), 40560
note_on(3, 62, 100.0), 40560
note_off(3, 62, 64), 40608
note_on(3, 74, 100.0), 40608
note_off(3, 74, 64), 40656
note_on(3, 74, 100.0), 40656
note_off(3, 74, 64), 40704
note_on(3, 62, 100.0), 40704
note_off(3, 62, 64), 40752
note_on(3, 62, 100.0), 40752
note_off(3, 62, 64), 40800
note_on(3, 74, 100.0), 40800
note_off(3, 74, 64), 40848
note_on(3, 74, 100.0), 40848
note_off(3, 74, 64), 40896
note_on(3, 62, 100.0), 40896
note_off(3, 62, 64), 40944
note_on(3, 62, 100.0), 40944
note_off(3, 62, 64), 40992
note_on(3, 74, 100.0), 40992
note_off(3, 74, 64), 41040
note_on(3, 74, 100.0), 41040
note_off(3, 74, 64), 41088
note_on(3, 62, 100.0), 41088
note_off(3, 62, 64), 41136
note_on(3, 62, 100.0), 41136
note_off(3, 62, 64), 41184
note_on(3, 74, 100.0), 41184
note_off(3, 74, 64), 41232
note_on(3, 74, 100.0), 41232
note_off(3, 74, 64), 41280
note_on(3, 62, 100.0), 41280
note_off(3, 62, 64), 41328
note_on(3, 62, 100.0), 41328
note_off(3, 62, 64), 41376
note_on(3, 74, 100.0), 41376
note_off(3, 74, 64), 41424
note_on(3, 74, 100.0), 41424
note_off(3, 74, 64), 41472
note_on(4, 46, 100.0), 5184
note_off(4, 46, 64), 5280
note_on(4, 48, 100.0), 5280
note_off(4, 48, 64), 5376
note_on(4, 50, 100.0), 5376
note_off(4, 50, 64), 5568
note_on(4, 50, 100.0), 5568
note_off(4, 50, 64), 5712
note_on(4, 50, 100.0), 5712
note_off(4, 50, 64), 5760
note_on(4, 50, 100.0), 5856
note_off(4, 50, 64), 5952
note_on(4, 46, 100.0), 5952
note_off(4, 46, 64), 6048
note_on(4, 48, 100.0), 6048
note_off(4, 48, 64), 6144
note_on(4, 50, 100.0), 6144
note_off(4, 50, 64), 6336
note_on(4, 50, 100.0), 6336
note_off(4, 50, 64), 6480
note_on(4, 50, 100.0), 6480
note_off(4, 50, 64), 6528
note_on(4, 50, 100.0), 6624
note_off(4, 50, 64), 6720
note_on(4, 46, 100.0), 6720
note_off(4, 46, 64), 6816
note_on(4, 48, 100.0), 6816
note_off(4, 48, 64), 6912
note_on(4, 50, 100.0), 6912
note_off(4, 50, 64), 7104
note_on(4, 50, 100.0), 7104
note_off(4, 50, 64), 7248
note_on(4, 50, 100.0), 7248
note_off(4, 50, 64), 7296
note_on(4, 50, 100.0), 7392
note_off(4, 50, 64), 7488
note_on(4, 55, 100.0), 7488
note_off(4, 55, 64), 7584
note_on(4, 53, 100.0), 7584
note_off(4, 53, 64), 7680
note_on(4, 50, 100.0), 7680
note_off(4, 50, 64), 7872
note_on(4, 50, 100.0), 7872
note_off(4, 50, 64), 8016
note_on(4, 50, 100.0), 8016
note_off(4, 50, 64), 8064
note_on(4, 50, 100.0), 8160
note_off(4, 50, 64), 8256
note_on(4, 46, 100.0), 8256
note_off(4, 46, 64), 8352
note_on(4, 48, 100.0), 8352
note_off(4, 48, 64), 8448
note_on(4, 50, 100.0), 8448
note_off(4, 50, 64), 8640
note_on(4, 50, 100.0), 8640
note_off(4, 50, 64), 8784
note_on(4, 50, 100.0), 8784
note_off(4, 50, 64), 8832
note_on(4, 50, 100.0), 8928
note_off(4, 50, 64), 9024
note_on(4, 55, 100.0), 9024
note_off(4, 55, 64), 9120
note_on(4, 53, 100.0), 9120
note_off(4, 53, 64), 9216
note_on(4, 50, 100.0), 9216
note_off(4, 50, 64), 9408
note_on(4, 50, 100.0), 9408
note_off(4, 50, 64), 9552
note_on(4, 50, 100.0), 9552
note_off(4, 50, 64), 9600
note_on(4, 50, 100.0), 9696
note_off(4, 50, 64), 9792
note_on(4, 46, 100.0), 9792
note_off(4, 46, 64), 9888
note_on(4, 48, 100.0), 9888
note_off(4, 48, 64), 9984
note_on(4, 46, 100.0), 9984
note_off(4, 46, 64), 10176
note_on(4, 46, 100.0), 10176
note_off(4, 46, 64), 10320
note_on(4, 46, 100.0), 10320
note_off(4, 46, 64), 10368
note_on(4, 46, 100.0), 10464
note_off(4, 46, 64), 10560
note_on(4, 46, 100.0), 10560
note_off(4, 46, 64), 10656
note_on(4, 45, 100.0), 10656
note_off(4, 45, 64), 10752
note_on(4, 43, 100.0), 10752
note_off(4, 43, 64), 10944
note_on(4, 43, 100.0), 10944
note_off(4, 43, 64), 11088
note_on(4, 43, 100.0), 11088
note_off(4, 43, 64), 11136
note_on(4, 43, 100.0), 11232
note_off(4, 43, 64), 11328
note_on(4, 41, 100.0), 11328
note_off(4, 41, 64), 11424
note_on(4, 43, 100.0), 11424
note_off(4, 43, 64), 11520
note_on(4, 48, 100.0), 11520
note_off(4, 48, 64), 11712
note_on(4, 48, 100.0), 11712
note_off(4, 48, 64), 11856
note_on(4, 48, 100.0), 11856
note_off(4, 48, 64), 11904
note_on(4, 48, 100.0), 12000
note_off(4, 48, 64), 12096
note_on(4, 46, 100.0), 12096
note_off(4, 46, 64), 12192
note_on(4, 48, 100.0), 12192
note_off(4, 48, 64), 12288
note_on(4, 45, 100.0), 12288
note_off(4, 45, 64), 12480
note_on(4, 45, 100.0), 12480
note_off(4, 45, 64), 12624
note_on(4, 45, 100.0), 12624
note_off(4, 45, 64), 12672
note_on(4, 45, 100.0), 12768
note_off(4, 45, 64), 12864
note_on(4, 43, 100.0), 12864
note_off(4, 43, 64), 12960
note_on(4, 45, 100.0), 12960
note_off(4, 45, 64), 13056
note_on(4, 46, 100.0), 13056
note_off(4, 46, 64), 13248
note_on(4, 46, 100.0), 13248
note_off(4, 46, 64), 13392
note_on(4, 46, 100.0), 13392
note_off(4, 46, 64), 13440
note_on(4, 46, 100.0), 13536
note_off(4, 46, 64), 13632
note_on(4, 45, 100.0), 13632
note_off(4, 45, 64), 13728
note_on(4, 43, 100.0), 13728
note_off(4, 43, 64), 13824
note_on(4, 41, 100.0), 13824
note_off(4, 41, 64), 14016
note_on(4, 41, 100.0), 14016
note_off(4, 41, 64), 14160
note_on(4, 48, 100.0), 14160
note_off(4, 48, 64), 14208
note_on(4, 48, 100.0), 14304
note_off(4, 48, 64), 14400
note_on(4, 46, 100.0), 14400
note_off(4, 46, 64), 14496
note_on(4, 48, 100.0), 14496
note_off(4, 48, 64), 14592
note_on(4, 50, 100.0), 14592
note_off(4, 50, 64), 14784
note_on(4, 50, 100.0), 14784
note_off(4, 50, 64), 14928
note_on(4, 50, 100.0), 14928
note_off(4, 50, 64), 14976
note_on(4, 50, 100.0), 15072
note_off(4, 50, 64), 15168
note_on(4, 46, 100.0), 15168
note_off(4, 46, 64), 15264
note_on(4, 48, 100.0), 15264
note_off(4, 48, 64), 15360
note_on(4, 50, 100.0), 15360
note_off(4, 50, 64), 15552
note_on(4, 50, 100.0), 15552
note_off(4, 50, 64), 15696
note_on(4, 50, 100.0), 15696
note_off(4, 50, 64), 15744
note_on(4, 50, 100.0), 15840
note_off(4, 50, 64), 15936
note_on(4, 55, 100.0), 15936
note_off(4, 55, 64), 16032
note_on(4, 53, 100.0), 16032
note_off(4, 53, 64), 16128
note_on(4, 50, 100.0), 16128
note_off(4, 50, 64), 16320
note_on(4, 50, 100.0), 16320
note_off(4, 50, 64), 16464
note_on(4, 50, 100.0), 16464
note_off(4, 50, 64), 16512
note_on(4, 50, 100.0), 16608
note_off(4, 50, 64), 16704
note_on(4, 46, 100.0), 16704
note_off(4, 46, 64), 16800
note_on(4, 48, 100.0), 16800
note_off(4, 48, 64), 16896
note_on(4, 50, 100.0), 16896
note_off(4, 50, 64), 17088
note_on(4, 50, 100.0), 17088
note_off(4, 50, 64), 17232
note_on(4, 50, 100.0), 17232
note_off(4, 50, 64), 17280
note_on(4, 50, 100.0), 17376
note_off(4, 50, 64), 17472
note_on(4, 55, 100.0), 17472
note_off(4, 55, 64), 17568
note_on(4, 53, 100.0), 17568
note_off(4, 53, 64), 17664
note_on(4, 50, 100.0), 17664
note_off(4, 50, 64), 17856
note_on(4, 50, 100.0), 17856
note_off(4, 50, 64), 18000
note_on(4, 50, 100.0), 18000
note_off(4, 50, 64), 18048
note_on(4, 50, 100.0), 18144
note_off(4, 50, 64), 18240
note_on(4, 46, 100.0), 18240
note_off(4, 46, 64), 18336
note_on(4, 48, 100.0), 18336
note_off(4, 48, 64), 18432
note_on(4, 50, 100.0), 18432
note_off(4, 50, 64), 18624
note_on(4, 50, 100.0), 18624
note_off(4, 50, 64), 18768
note_on(4, 50, 100.0), 18768
note_off(4, 50, 64), 18816
note_on(4, 50, 100.0), 18912
note_off(4, 50, 64), 19008
note_on(4, 55, 100.0), 19008
note_off(4, 55, 64), 19104
note_on(4, 53, 100.0), 19104
note_off(4, 53, 64), 19200
note_on(4, 50, 100.0), 19200
note_off(4, 50, 64), 19392
note_on(4, 50, 100.0), 19392
note_off(4, 50, 64), 19536
note_on(4, 50, 100.0), 19536
note_off(4, 50, 64), 19584
note_on(4, 50, 100.0), 19680
note_off(4, 50, 64), 19776
note_on(4, 46, 100.0), 19776
note_off(4, 46, 64), 19872
note_on(4, 48, 100.0), 19872
note_off(4, 48, 64), 19968
note_on(4, 50, 100.0), 19968
note_off(4, 50, 64), 20160
note_on(4, 50, 100.0), 20160
note_off(4, 50, 64), 20304
note_on(4, 50, 100.0), 20304
note_off(4, 50, 64), 20352
note_on(4, 50, 100.0), 20448
note_off(4, 50, 64), 20544
note_on(4, 55, 100.0), 20544
note_off(4, 55, 64), 20640
note_on(4, 53, 100.0), 20640
note_off(4, 53, 64), 20736
note_on(4, 50, 100.0), 20736
note_off(4, 50, 64), 20928
note_on(4, 50, 100.0), 20928
note_off(4, 50, 64), 21072
note_on(4, 50, 100.0), 21072
note_off(4, 50, 64), 21120
note_on(4, 50, 100.0), 21216
note_off(4, 50, 64), 21312
note_on(4, 46, 100.0), 21312
note_off(4, 46, 64), 21408
note_on(4, 48, 100.0), 21408
note_off(4, 48, 64), 21504
note_on(4, 46, 100.0), 21504
note_off(4, 46, 64), 21696
note_on(4, 46, 100.0), 21696
note_off(4, 46, 64), 21840
note_on(4, 46, 100.0), 21840
note_off(4, 46, 64), 21888
note_on(4, 46, 100.0), 21984
note_off(4, 46, 64), 22080
note_on(4, 46, 100.0), 22080
note_off(4, 46, 64), 22176
note_on(4, 45, 100.0), 22176
note_off(4, 45, 64), 22272
note_on(4, 43, 100.0), 22272
note_off(4, 43, 64), 22464
note_on(4, 43, 100.0), 22464
note_off(4, 43, 64), 22608
note_on(4, 43, 100.0), 22608
note_off(4, 43, 64), 22656
note_on(4, 43, 100.0), 22752
note_off(4, 43, 64), 22848
note_on(4, 41, 100.0), 22848
note_off(4, 41, 64), 22944
note_on(4, 43, 100.0), 22944
note_off(4, 43, 64), 23040
note_on(4, 48, 100.0), 23040
note_off(4, 48, 64), 23232
note_on(4, 48, 100.0), 23232
note_off(4, 48, 64), 23376
note_on(4, 48, 100.0), 23376
note_off(4, 48, 64), 23424
note_on(4, 48, 100.0), 23520
note_off(4, 48, 64), 23616
note_on(4, 46, 100.0), 23616
note_off(4, 46, 64), 23712
note_on(4, 48, 100.0), 23712
note_off(4, 48, 64), 23808
note_on(4, 50, 100.0), 23808
note_off(4, 50, 64), 24000
note_on(4, 50, 100.0), 24000
note_off(4, 50, 64), 24144
note_on(4, 50, 100.0), 24144
note_off(4, 50, 64), 24192
note_on(4, 50, 100.0), 24288
note_off(4, 50, 64), 24384
note_on(4, 46, 100.0), 24384
note_off(4, 46, 64), 24480
note_on(4, 48, 100.0), 24480
note_off(4, 48, 64), 24576
note_on(4, 46, 100.0), 24576
note_off(4, 46, 64), 24768
note_on(4, 46, 100.0), 24768
note_off(4, 46, 64), 24912
note_on(4, 46, 100.0), 24912
note_off(4, 46, 64), 24960
note_on(4, 46, 100.0), 25056
note_off(4, 46, 64), 25152
note_on(4, 46, 100.0), 25152
note_off(4, 46, 64), 25248
note_on(4, 45, 100.0), 25248
note_off(4, 45, 64), 25344
note_on(4, 43, 100.0), 25344
note_off(4, 43, 64), 25536
note_on(4, 43, 100.0), 25536
note_off(4, 43, 64), 25680
note_on(4, 43, 100.0), 25680
note_off(4, 43, 64), 25728
note_on(4, 43, 100.0), 25824
note_off(4, 43, 64), 25920
note_on(4, 41, 100.0), 25920
note_off(4, 41, 64), 26016
note_on(4, 43, 100.0), 26016
note_off(4, 43, 64), 26112
note_on(4, 48, 100.0), 26112
note_off(4, 48, 64), 26304
note_on(4, 48, 100.0), 26304
note_off(4, 48, 64), 26448
note_on(4, 48, 100.0), 26448
note_off(4, 48, 64), 26496
note_on(4, 48, 100.0), 26592
note_off(4, 48, 64), 26688
note_on(4, 46, 100.0), 26688
note_off(4, 46, 64), 26784
note_on(4, 48, 100.0), 26784
note_off(4, 48, 64), 26880
note_on(4, 50, 100.0), 26880
note_off(4, 50, 64), 27072
note_on(4, 50, 100.0), 27072
note_off(4, 50, 64), 27216
note_on(4, 50, 100.0), 27216
note_off(4, 50, 64), 27264
note_on(4, 50, 100.0), 27360
note_off(4, 50, 64), 27456
note_on(4, 46, 100.0), 27456
note_off(4, 46, 64), 27552
note_on(4, 48, 100.0), 27552
note_off(4, 48, 64), 27648
note_on(4, 50, 100.0), 27648
note_off(4, 50, 64), 27840
note_on(4, 50, 100.0), 27840
note_off(4, 50, 64), 27984
note_on(4, 50, 100.0), 27984
note_off(4, 50, 64), 28032
note_on(4, 50, 100.0), 28128
note_off(4, 50, 64), 28224
note_on(4, 55, 100.0), 28224
note_off(4, 55, 64), 28320
note_on(4, 53, 100.0), 28320
note_off(4, 53, 64), 28416
note_on(4, 50, 100.0), 28416
note_off(4, 50, 64), 28608
note_on(4, 50, 100.0), 28608
note_off(4, 50, 64), 28752
note_on(4, 50, 100.0), 28752
note_off(4, 50, 64), 28800
note_on(4, 50, 100.0), 28896
note_off(4, 50, 64), 28992
note_on(4, 46, 100.0), 28992
note_off(4, 46, 64), 29088
note_on(4, 48, 100.0), 29088
note_off(4, 48, 64), 29184
note_on(4, 50, 100.0), 29184
note_off(4, 50, 64), 29376
note_on(4, 50, 100.0), 29376
note_off(4, 50, 64), 29520
note_on(4, 50, 100.0), 29520
note_off(4, 50, 64), 29568
note_on(4, 50, 100.0), 29664
note_off(4, 50, 64), 29760
note_on(4, 55, 100.0), 29760
note_off(4, 55, 64), 29856
note_on(4, 53, 100.0), 29856
note_off(4, 53, 64), 29952
note_on(4, 50, 100.0), 29952
note_off(4, 50, 64), 30144
note_on(4, 50, 100.0), 30144
note_off(4, 50, 64), 30288
note_on(4, 50, 100.0), 30288
note_off(4, 50, 64), 30336
note_on(4, 50, 100.0), 30432
note_off(4, 50, 64), 30528
note_on(4, 46, 100.0), 30528
note_off(4, 46, 64), 30624
note_on(4, 48, 100.0), 30624
note_off(4, 48, 64), 30720
note_on(4, 46, 100.0), 30720
note_off(4, 46, 64), 30912
note_on(4, 46, 100.0), 30912
note_off(4, 46, 64), 31056
note_on(4, 46, 100.0), 31056
note_off(4, 46, 64), 31104
note_on(4, 46, 100.0), 31200
note_off(4, 46, 64), 31296
note_on(4, 46, 100.0), 31296
note_off(4, 46, 64), 31392
note_on(4, 45, 100.0), 31392
note_off(4, 45, 64), 31488
note_on(4, 43, 100.0), 31488
note_off(4, 43, 64), 31680
note_on(4, 43, 100.0), 31680
note_off(4, 43, 64), 31824
note_on(4, 43, 100.0), 31824
note_off(4, 43, 64), 31872
note_on(4, 43, 100.0), 31968
note_off(4, 43, 64), 32064
note_on(4, 41, 100.0), 32064
note_off(4, 41, 64), 32160
note_on(4, 43, 100.0), 32160
note_off(4, 43, 64), 32256
note_on(4, 48, 100.0), 32256
note_off(4, 48, 64), 32448
note_on(4, 48, 100.0), 32448
note_off(4, 48, 64), 32592
note_on(4, 48, 100.0), 32592
note_off(4, 48, 64), 32640
note_on(4, 48, 100.0), 32736
note_off(4, 48, 64), 32832
note_on(4, 46, 100.0), 32832
note_off(4, 46, 64), 32928
note_on(4, 48, 100.0), 32928
note_off(4, 48, 64), 33024
note_on(4, 45, 100.0), 33024
note_off(4, 45, 64), 33216
note_on(4, 45, 100.0), 33216
note_off(4, 45, 64), 33360
note_on(4, 45, 100.0), 33360
note_off(4, 45, 64), 33408
note_on(4, 45, 100.0), 33504
note_off(4, 45, 64), 33600
note_on(4, 43, 100.0), 33600
note_off(4, 43, 64), 33696
note_on(4, 45, 100.0), 33696
note_off(4, 45, 64), 33792
note_on(4, 46, 100.0), 33792
note_off(4, 46, 64), 33984
note_on(4, 46, 100.0), 33984
note_off(4, 46, 64), 34128
note_on(4, 46, 100.0), 34128
note_off(4, 46, 64), 34176
note_on(4, 46, 100.0), 34272
note_off(4, 46, 64), 34368
note_on(4, 45, 100.0), 34368
note_off(4, 45, 64), 34464
note_on(4, 43, 100.0), 34464
note_off(4, 43, 64), 34560
note_on(4, 41, 100.0), 34560
note_off(4, 41, 64), 34752
note_on(4, 41, 100.0), 34752
note_off(4, 41, 64), 34896
note_on(4, 48, 100.0), 34896
note_off(4, 48, 64), 34944
note_on(4, 48, 100.0), 35040
note_off(4, 48, 64), 35136
note_on(4, 46, 100.0), 35136
note_off(4, 46, 64), 35232
note_on(4, 48, 100.0), 35232
note_off(4, 48, 64), 35328
note_on(4, 50, 100.0), 35328
note_off(4, 50, 64), 35520
note_on(4, 50, 100.0), 35520
note_off(4, 50, 64), 35664
note_on(4, 50, 100.0), 35664
note_off(4, 50, 64), 35712
note_on(4, 50, 100.0), 35808
note_off(4, 50, 64), 35904
note_on(4, 46, 100.0), 35904
note_off(4, 46, 64), 36000
note_on(4, 48, 100.0), 36000
note_off(4, 48, 64), 36096
note_on(4, 50, 100.0), 36096
note_off(4, 50, 64), 36288
note_on(4, 50, 100.0), 36288
note_off(4, 50, 64), 36432
note_on(4, 50, 100.0), 36432
note_off(4, 50, 64), 36480
note_on(4, 50, 100.0), 36576
note_off(4, 50, 64), 36672
note_on(4, 55, 100.0), 36672
note_off(4, 55, 64), 36768
note_on(4, 53, 100.0), 36768
note_off(4, 53, 64), 36864
note_on(4, 50, 100.0), 36864
note_off(4, 50, 64), 37056
note_on(4, 50, 100.0), 37056
note_off(4, 50, 64), 37200
note_on(4, 50, 100.0), 37200
note_off(4, 50, 64), 37248
note_on(4, 50, 100.0), 37344
note_off(4, 50, 64), 37440
note_on(4, 46, 100.0), 37440
note_off(4, 46, 64), 37536
note_on(4, 48, 100.0), 37536
note_off(4, 48, 64), 37632
note_on(4, 50, 100.0), 37632
note_off(4, 50, 64), 37824
note_on(4, 50, 100.0), 37824
note_off(4, 50, 64), 37968
note_on(4, 50, 100.0), 37968
note_off(4, 50, 64), 38016
note_on(4, 50, 100.0), 38112
note_off(4, 50, 64), 38208
note_on(4, 55, 100.0), 38208
note_off(4, 55, 64), 38304
note_on(4, 53, 100.0), 38304
note_off(4, 53, 64), 38400
note_on(4, 50, 100.0), 38400
note_off(4, 50, 64), 38592
note_on(4, 50, 100.0), 38592
note_off(4, 50, 64), 38736
note_on(4, 50, 100.0), 38736
note_off(4, 50, 64), 38784
note_on(4, 50, 100.0), 38880
note_off(4, 50, 64), 38976
note_on(4, 46, 100.0), 38976
note_off(4, 46, 64), 39072
note_on(4, 48, 100.0), 39072
note_off(4, 48, 64), 39168
note_on(4, 50, 100.0), 39168
note_off(4, 50, 64), 39360
note_on(4, 50, 100.0), 39360
note_off(4, 50, 64), 39504
note_on(4, 50, 100.0), 39504
note_off(4, 50, 64), 39552
note_on(4, 50, 100.0), 39648
note_off(4, 50, 64), 39744
note_on(4, 55, 100.0), 39744
note_off(4, 55, 64), 39840
note_on(4, 53, 100.0), 39840
note_off(4, 53, 64), 39936
note_on(4, 50, 100.0), 39936
note_off(4, 50, 64), 40128
note_on(4, 50, 100.0), 40128
note_off(4, 50, 64), 40272
note_on(4, 50, 100.0), 40272
note_off(4, 50, 64), 40320
note_on(4, 50, 100.0), 40416
note_off(4, 50, 64), 40512
note_on(4, 46, 100.0), 40512
note_off(4, 46, 64), 40608
note_on(4, 48, 100.0), 40608
note_off(4, 48, 64), 40704
note_on(4, 50, 100.0), 40704
note_off(4, 50, 64), 40896
note_on(4, 50, 100.0), 40896
note_off(4, 50, 64), 41040
note_on(4, 50, 100.0), 41040
note_off(4, 50, 64), 41088
note_on(4, 50, 100.0), 41184
note_off(4, 50, 64), 41280
note_on(4, 55, 100.0), 41280
note_off(4, 55, 64), 41376
note_on(4, 53, 100.0), 41376
note_off(4, 53, 64), 41472
note_on(4, 50, 100.0), 41472
note_off(4, 50, 64), 41664
note_on(4, 50, 100.0), 41664
note_off(4, 50, 64), 41808
note_on(4, 50, 100.0), 41808
note_off(4, 50, 64), 41856
note_on(4, 50, 100.0), 41952
note_off(4, 50, 64), 42048
note_on(4, 46, 100.0), 42048
note_off(4, 46, 64), 42144
note_on(4, 48, 100.0), 42144
note_off(4, 48, 64), 42240
note_on(4, 46, 100.0), 42240
note_off(4, 46, 64), 42432
note_on(4, 46, 100.0), 42432
note_off(4, 46, 64), 42576
note_on(4, 46, 100.0), 42576
note_off(4, 46, 64), 42624
note_on(4, 46, 100.0), 42720
note_off(4, 46, 64), 42816
note_on(4, 46, 100.0), 42816
note_off(4, 46, 64), 42912
note_on(4, 45, 100.0), 42912
note_off(4, 45, 64), 43008
note_on(4, 43, 100.0), 43008
note_off(4, 43, 64), 43200
note_on(4, 43, 100.0), 43200
note_off(4, 43, 64), 43344
note_on(4, 43, 100.0), 43344
note_off(4, 43, 64), 43392
note_on(4, 43, 100.0), 43488
note_off(4, 43, 64), 43584
note_on(4, 41, 100.0), 43584
note_off(4, 41, 64), 43680
note_on(4, 43, 100.0), 43680
note_off(4, 43, 64), 43776
note_on(4, 48, 100.0), 43776
note_off(4, 48, 64), 43968
note_on(4, 48, 100.0), 43968
note_off(4, 48, 64), 44112
note_on(4, 48, 100.0), 44112
