note(canal, nota, intensidade), tick
note_off(1, 70, 64), 26400
note_on(1, 69, 100.0), 26400
note_off(1, 69, 64), 26496
note_on(1, 69, 100.0), 26592
note_off(1, 69, 64), 26688
note_on(1, 70, 100.0), 26688
note_off(1, 70, 64), 26784
note_on(1, 69, 100.0), 26784
note_off(1, 69, 64), 26880
note_on(1, 74, 100.0), 29760
note_off(1, 74, 64), 29856
note_on(1, 74, 100.0), 29856
note_off(1, 74, 64), 29952
note_on(1, 81, 100.0), 29952
note_off(1, 81, 64), 30384
note_on(1, 77, 100.0), 30432
note_off(1, 77, 64), 30528
note_on(1, 79, 100.0), 30528
note_off(1, 79, 64), 30624
note_on(1, 77, 100.0), 30624
note_off(1, 77, 64), 30720
note_on(1, 74, 100.0), 30720
note_off(1, 74, 64), 31296
note_on(1, 74, 100.0), 31296
note_off(1, 74, 64), 31392
note_on(1, 74, 100.0), 31392
note_off(1, 74, 64), 31488
note_on(1, 82, 100.0), 31488
note_off(1, 82, 64), 31920
note_on(1, 79, 100.0), 31968
note_off(1, 79, 64), 32064
note_on(1, 81, 100.0), 32064
note_off(1, 81, 64), 32160
note_on(1, 79, 100.0), 32160
note_off(1, 79, 64), 32256
note_on(1, 76, 100.0), 32256
note_off(1, 76, 64), 32832
note_on(1, 76, 100.0), 32832
note_off(1, 76, 64), 32928
note_on(1, 76, 100.0), 32928
note_off(1, 76, 64), 33024
note_on(1, 84, 100.0), 33024
note_off(1, 84, 64), 33456
note_on(1, 81, 100.0), 33504
note_off(1, 81, 64), 33600
note_on(1, 82, 100.0), 33600
note_off(1, 82, 64), 33696
note_on(1, 84, 100.0), 33696
note_off(1, 84, 64), 33792
note_on(1, 86, 100.0), 33792
note_off(1, 86, 64), 34368
note_on(1, 77, 100.0), 34368
note_off(1, 77, 64), 34464
note_on(1, 79, 100.0), 34464
note_off(1, 79, 64), 34560
note_on(1, 81, 100.0), 34560
note_off(1, 81, 64), 34992
note_on(1, 76, 100.0), 35040
note_off(1, 76, 64), 35136
note_on(1, 77, 100.0), 35136
note_off(1, 77, 64), 35232
note_on(1, 79, 100.0), 35232
note_off(1, 79, 64), 35328
note_on(1, 76, 100.0), 35328
note_off(1, 76, 64), 36864
note_on(1, 62, 100.0), 41664
note_off(1, 62, 64), 41760
note_on(1, 69, 100.0), 41760
note_off(1, 69, 64), 41952
note_on(1, 65, 100.0), 41952
note_off(1, 65, 64), 42048
note_on(1, 67, 100.0), 42048
note_off(1, 67, 64), 42144
note_on(1, 69, 100.0), 42144
note_off(1, 69, 64), 42240
note_on(1, 67, 100.0), 42240
note_off(1, 67, 64), 42432
note_on(1, 65, 100.0), 42432
note_off(1, 65, 64), 42528
note_on(1, 62, 100.0), 42528
note_off(1, 62, 64), 43008
note_on(1, 70, 100.0), 43008
note_off(1, 70, 64), 43200
note_on(1, 67, 100.0), 43200
note_off(1, 67, 64), 43296
note_on(1, 69, 100.0), 43296
note_off(1, 69, 64), 43488
note_on(1, 67, 100.0), 43488
note_off(1, 67, 64), 43584
note_on(1, 69, 100.0), 43584
note_off(1, 69, 64), 43680
note_on(1, 70, 100.0), 43680
note_off(1, 70, 64), 43776
note_on(1, 72, 100.0), 43776
note_off(1, 72, 64), 43968
note_on(1, 70, 100.0), 43968
note_off(1, 70, 64), 44064
note_on(1, 69, 100.0), 44064
note_off(1, 69, 64), 44256
note_on(1, 69, 100.0), 44256
note_off(1, 69, 64), 44352
note_on(1, 70, 100.0), 44352
note_off(1, 70, 64), 44448
note_on(1, 69, 100.0), 44448
note_off(1, 69, 64), 44544
note_on(1, 62, 100.0), 44736
note_off(1, 62, 64), 44832
note_on(1, 69, 100.0), 44832
note_off(1, 69, 64), 45024
note_on(1, 65, 100.0), 45024
note_off(1, 65, 64), 45120
note_on(1, 67, 100.0), 45120
note_off(1, 67, 64), 45216
note_on(1, 69, 100.0), 45216
note_off(1, 69, 64), 45312
note_on(1, 67, 100.0), 45312
note_off(1, 67, 64), 45504
note_on(1, 65, 100.0), 45504
note_off(1, 65, 64), 45600
note_on(1, 62, 100.0), 45600
note_off(1, 62, 64), 46080
note_on(1, 70, 100.0), 46080
note_off(1, 70, 64), 46272
note_on(1, 67, 100.0), 46272
note_off(1, 67, 64), 46368
note_on(1, 69, 100.0), 46368
note_off(1, 69, 64), 46560
note_on(1, 67, 100.0), 46560
note_off(1, 67, 64), 46656
note_on(1, 69, 100.0), 46656
note_off(1, 69, 64), 46752
note_on(1, 70, 100.0), 46752
note_off(1, 70, 64), 46848
note_on(1, 72, 100.0), 46848
note_off(1, 72, 64), 47040
note_on(1, 70, 100.0), 47040
note_off(1, 70, 64), 47136
note_on(1, 69, 100.0), 47136
note_off(1, 69, 64), 47232
note_on(1, 69, 100.0), 47328
note_off(1, 69, 64), 47424
note_on(1, 70, 100.0), 47424
note_off(1, 70, 64), 47520
note_on(1, 69, 100.0), 47520
note_off(1, 69, 64), 47616
note_on(2, 57, 100.0), 768
note_off(2, 57, 64), 960
note_on(2, 57, 100.0), 1056
note_off(2, 57, 64), 1152
note_on(2, 57, 100.0), 1152
note_off(2, 57, 64), 1248
note_on(2, 50, 100.0), 1536
note_off(2, 50, 64), 1632
note_on(2, 55, 100.0), 1824
note_off(2, 55, 64), 1920
note_on(2, 55, 100.0), 1920
note_off(2, 55, 64), 2016
note_on(2, 58, 100.0), 2304
note_off(2, 58, 64), 2400
note_on(2, 58, 100.0), 2592
note_off(2, 58, 64), 2688
note_on(2, 58, 100.0), 2688
note_off(2, 58, 64), 2784
note_on(2, 60, 100.0), 3072
note_off(2, 60, 64), 3264
note_on(2, 60, 100.0), 3360
note_off(2, 60, 64), 3456
note_on(2, 60, 100.0), 3456
note_off(2, 60, 64), 3552
note_on(2, 50, 100.0), 6144
note_off(2, 50, 64), 6336
note_on(2, 50, 100.0), 26880
note_off(2, 50, 64), 27072
note_on(3, 69, 100.0), 768
note_off(3, 69, 64), 864
note_on(3, 65, 100.0), 864
note_off(3, 65, 64), 960
note_on(3, 69, 100.0), 960
note_off(3, 69, 64), 1056
note_on(3, 65, 100.0), 1056
note_off(3, 65, 64), 1152
note_on(3, 69, 100.0), 1152
note_off(3, 69, 64), 1248
note_on(3, 62, 100.0), 1536
note_off(3, 62, 64), 1632
note_on(3, 65, 100.0), 1632
note_off(3, 65, 64), 1728
note_on(3, 67, 100.0), 1728
note_off(3, 67, 64), 1824
note_on(3, 65, 100.0), 1824
note_off(3, 65, 64), 1920
note_on(3, 67, 100.0), 1920
note_off(3, 67, 64), 2016
note_on(3, 65, 100.0), 2016
note_off(3, 65, 64), 2112
note_on(3, 67, 100.0), 2112
note_off(3, 67, 64), 2208
note_on(3, 70, 100.0), 2304
note_off(3, 70, 64), 2400
note_on(3, 67, 100.0), 2400
note_off(3, 67, 64), 2496
note_on(3, 70, 100.0), 2496
note_off(3, 70, 64), 2592
note_on(3, 67, 100.0), 2592
note_off(3, 67, 64), 2688
note_on(3, 70, 100.0), 2688
note_off(3, 70, 64), 2784
note_on(3, 64, 100.0), 3072
note_off(3, 64, 64), 3168
note_on(3, 67, 100.0), 3168
note_off(3, 67, 64), 3264
note_on(3, 69, 100.0), 3264
note_off(3, 69, 64), 3360
note_on(3, 67, 100.0), 3360
note_off(3, 67, 64), 3456
note_on(3, 69, 100.0), 3456
note_off(3, 69, 64), 3552
note_on(3, 67, 100.0), 3552
note_off(3, 67, 64), 3648
note_on(3, 69, 100.0), 3648
note_off(3, 69, 64), 3744
note_on(3, 70, 100.0), 3744
note_off(3, 70, 64), 3840
note_on(3, 72, 100.0), 3840
note_off(3, 72, 64), 3936
note_on(3, 69, 100.0), 3936
note_off(3, 69, 64), 4032
note_on(3, 65, 100.0), 4032
note_off(3, 65, 64), 4128
note_on(3, 69, 100.0), 4128
note_off(3, 69, 64), 4224
note_on(3, 72, 100.0), 4224
note_off(3, 72, 64), 4320
note_on(3, 69, 100.0), 4320
note_off(3, 69, 64), 4416
note_on(3, 65, 100.0), 4416
note_off(3, 65, 64), 4512
note_on(3, 69, 100.0), 4512
note_off(3, 69, 64), 4608
note_on(3, 74, 100.0), 4608
note_off(3, 74, 64), 4704
note_on(3, 70, 100.0), 4704
note_off(3, 70, 64), 4800
note_on(3, 67, 100.0), 4800
note_off(3, 67, 64), 4896
note_on(3, 70, 100.0), 4896
note_off(3, 70, 64), 4992
note_on(3, 74, 100.0), 4992
note_off(3, 74, 64), 5088
note_on(3, 70, 100.0), 5088
note_off(3, 70, 64), 5184
note_on(3, 67, 100.0), 5184
note_off(3, 67, 64), 5280
note_on(3, 70, 100.0), 5280
note_off(3, 70, 64), 5376
note_on(3, 69, 100.0), 5376
note_off(3, 69, 64), 5472
note_on(3, 65, 100.0), 5472
note_off(3, 65, 64), 5568
note_on(3, 69, 100.0), 5568
note_off(3, 69, 64), 5616
note_on(3, 65, 100.0), 5616
note_off(3, 65, 64), 5664
note_on(3, 69, 100.0), 5664
note_off(3, 69, 64), 5712
note_on(3, 65, 100.0), 5712
note_off(3, 65, 64), 5760
note_on(3, 69, 100.0), 5760
note_off(3, 69, 64), 5856
note_on(3, 62, 100.0), 7680
note_off(3, 62, 64), 7728
